semantic_similarity,skill_match,experience_match,education_match,profile_completeness,label,source
45.41,10.32,75.0,90.0,80.0,0.1114,hf_fit
70.95,25.38,90.0,85.0,80.0,0.7436,hf_fit
45.55,8.16,100.0,90.0,80.0,0.0774,hf_fit
56.57,13.75,100.0,80.0,80.0,0.8877,hf_fit
40.49,6.51,100.0,90.0,80.0,0.833,hf_fit
46.88,6.19,100.0,90.0,80.0,0.7997,hf_fit
55.9,6.79,100.0,85.0,80.0,0.689,hf_fit
52.21,20.0,0.0,90.0,100.0,0.689,hf_fit
38.32,4.53,0.0,80.0,80.0,0.2207,hf_fit
40.72,5.85,50.0,90.0,80.0,0.0996,hf_fit
53.43,5.0,90.0,85.0,80.0,0.6645,hf_fit
30.7,1.12,75.0,80.0,80.0,0.2914,hf_fit
33.16,3.67,0.0,50.0,80.0,0.0621,hf_fit
45.35,11.85,50.0,50.0,80.0,0.2593,hf_fit
51.2,5.41,100.0,80.0,80.0,0.8665,hf_fit
57.9,4.38,70.0,85.0,80.0,0.8003,hf_fit
26.75,3.67,75.0,90.0,80.0,0.209,hf_fit
28.45,4.44,0.0,50.0,80.0,0.827,hf_fit
39.75,4.38,100.0,50.0,80.0,0.6551,hf_fit
50.89,3.31,25.0,30.0,80.0,0.0643,hf_fit
30.84,8.82,75.0,100.0,100.0,0.1072,hf_fit
41.71,12.0,100.0,85.0,80.0,0.8925,hf_fit
42.32,5.58,0.0,50.0,80.0,0.1565,hf_fit
28.43,3.24,50.0,80.0,80.0,0.2547,hf_fit
75.87,6.79,100.0,85.0,80.0,0.8581,hf_fit
39.81,5.0,100.0,85.0,80.0,0.2056,hf_fit
51.76,5.95,100.0,85.0,80.0,0.1415,hf_fit
30.86,2.96,40.0,90.0,80.0,0.261,hf_fit
53.02,3.2,75.0,50.0,80.0,0.2288,hf_fit
41.03,6.41,0.0,30.0,80.0,0.7031,hf_fit
56.26,8.89,0.0,80.0,80.0,0.6955,hf_fit
23.66,0.0,40.0,90.0,80.0,0.1038,hf_fit
55.81,16.0,50.0,80.0,80.0,0.6959,hf_fit
54.0,5.83,0.0,80.0,80.0,0.7261,hf_fit
46.47,16.0,0.0,80.0,80.0,0.1114,hf_fit
45.83,8.57,0.0,90.0,72.0,0.7812,hf_fit
53.3,2.09,100.0,85.0,80.0,0.758,hf_fit
54.55,2.13,0.0,30.0,72.0,0.7228,hf_fit
46.97,4.17,80.0,85.0,80.0,0.803,hf_fit
38.74,3.43,0.0,85.0,80.0,0.6849,hf_fit
39.4,4.53,25.0,50.0,80.0,0.723,hf_fit
40.78,2.16,70.0,100.0,80.0,0.2337,hf_fit
33.07,0.0,100.0,90.0,80.0,0.2843,hf_fit
65.49,5.75,0.0,80.0,80.0,0.7416,hf_fit
51.1,9.23,80.0,90.0,80.0,0.764,hf_fit
42.32,18.64,100.0,90.0,80.0,0.8463,hf_fit
38.01,7.81,0.0,50.0,80.0,0.6999,hf_fit
59.42,5.75,0.0,80.0,80.0,0.7786,hf_fit
41.47,4.31,0.0,50.0,80.0,0.267,hf_fit
33.78,8.0,0.0,90.0,80.0,0.1175,hf_fit
35.83,1.38,0.0,50.0,80.0,0.1783,hf_fit
20.6,3.08,0.0,85.0,80.0,0.7981,hf_fit
44.8,6.0,70.0,85.0,80.0,0.6616,hf_fit
39.95,15.0,100.0,50.0,80.0,0.1403,hf_fit
53.01,5.45,100.0,85.0,80.0,0.8019,hf_fit
35.13,4.16,60.0,50.0,80.0,0.6926,hf_fit
50.51,5.68,0.0,80.0,80.0,0.1151,hf_fit
38.85,1.46,0.0,80.0,72.0,0.2813,hf_fit
50.82,7.5,0.0,50.0,80.0,0.2564,hf_fit
51.04,7.85,75.0,90.0,100.0,0.2654,hf_fit
24.24,1.32,40.0,90.0,80.0,0.0679,hf_fit
47.1,3.2,0.0,80.0,72.0,0.6663,hf_fit
36.72,8.12,25.0,90.0,80.0,0.8872,hf_fit
46.18,2.26,100.0,80.0,80.0,0.8914,hf_fit
37.96,8.73,100.0,85.0,80.0,0.8521,hf_fit
57.96,2.22,50.0,85.0,80.0,0.7262,hf_fit
31.53,0.0,100.0,85.0,65.0,0.22,hf_fit
33.06,4.38,100.0,50.0,80.0,0.2974,hf_fit
49.51,6.79,0.0,90.0,80.0,0.6744,hf_fit
47.37,3.53,75.0,80.0,80.0,0.2017,hf_fit
56.97,8.44,100.0,90.0,80.0,0.8211,hf_fit
41.33,5.9,40.0,80.0,80.0,0.1745,hf_fit
64.94,9.52,75.0,50.0,80.0,0.0605,hf_fit
34.41,2.77,25.0,90.0,80.0,0.1876,hf_fit
43.38,2.33,0.0,90.0,80.0,0.236,hf_fit
27.25,2.86,100.0,85.0,80.0,0.1311,hf_fit
54.0,3.75,25.0,50.0,80.0,0.76,hf_fit
41.14,5.22,0.0,90.0,80.0,0.2913,hf_fit
47.59,6.76,0.0,80.0,72.0,0.0786,hf_fit
40.0,0.0,0.0,100.0,80.0,0.1623,hf_fit
22.98,4.97,100.0,50.0,80.0,0.1154,hf_fit
39.98,16.8,100.0,50.0,80.0,0.6805,hf_fit
28.17,1.18,100.0,90.0,80.0,0.0689,hf_fit
40.58,7.57,0.0,80.0,80.0,0.0902,hf_fit
43.66,11.85,0.0,50.0,80.0,0.1946,hf_fit
53.2,5.45,50.0,100.0,80.0,0.2685,hf_fit
38.31,4.0,50.0,85.0,80.0,0.7738,hf_fit
45.08,9.23,25.0,80.0,80.0,0.6586,hf_fit
39.56,5.88,90.0,85.0,80.0,0.8773,hf_fit
70.39,25.38,100.0,85.0,80.0,0.7147,hf_fit
41.32,9.32,75.0,90.0,80.0,0.2246,hf_fit
33.89,8.89,0.0,30.0,72.0,0.2561,hf_fit
31.24,4.02,100.0,90.0,80.0,0.226,hf_fit
19.4,1.76,25.0,90.0,80.0,0.0597,hf_fit
26.06,2.73,0.0,85.0,80.0,0.8156,hf_fit
50.53,2.13,0.0,80.0,80.0,0.7279,hf_fit
28.54,0.0,50.0,85.0,80.0,0.1976,hf_fit
48.73,4.71,100.0,85.0,72.0,0.1151,hf_fit
45.8,8.89,50.0,80.0,80.0,0.78,hf_fit
43.24,11.16,0.0,50.0,80.0,0.2383,hf_fit
36.71,7.14,75.0,90.0,80.0,0.1016,hf_fit
71.73,8.45,100.0,50.0,80.0,0.7867,hf_fit
44.26,3.92,100.0,85.0,80.0,0.6962,hf_fit
66.91,3.96,50.0,90.0,80.0,0.8924,hf_fit
28.58,8.0,100.0,85.0,80.0,0.8438,hf_fit
12.84,2.82,25.0,90.0,72.0,0.8849,hf_fit
51.34,2.55,0.0,30.0,80.0,0.2328,hf_fit
45.48,7.27,25.0,85.0,80.0,0.1538,hf_fit
58.64,2.26,0.0,90.0,80.0,0.2705,hf_fit
55.42,5.22,0.0,50.0,80.0,0.8737,hf_fit
48.49,7.5,0.0,90.0,80.0,0.7995,hf_fit
35.96,3.08,0.0,90.0,80.0,0.3168,hf_fit
48.02,0.0,100.0,90.0,80.0,0.8805,hf_fit
12.94,2.88,100.0,90.0,80.0,0.0922,hf_fit
48.76,4.49,0.0,85.0,80.0,0.2937,hf_fit
47.92,9.73,80.0,100.0,80.0,0.0923,hf_fit
33.36,3.64,100.0,90.0,80.0,0.0814,hf_fit
38.69,5.71,70.0,85.0,80.0,0.2749,hf_fit
34.57,2.07,80.0,30.0,80.0,0.6721,hf_fit
45.73,8.81,90.0,50.0,80.0,0.2112,hf_fit
45.24,5.22,0.0,50.0,80.0,0.32,hf_fit
47.04,15.38,100.0,85.0,80.0,0.699,hf_fit
37.24,5.75,0.0,80.0,80.0,0.07,hf_fit
